SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,30,144,7,0.030358,0.626624,0.042983,,0.907583465
10,30,162,0.01,0.191354,0.283707,0.167249,,0.194402403
10,30,162,0.1,0.175805,0.28756,0.154477,,0.241181358
10,30,162,0.5,0.124938,0.310166,0.114332,,0.425709715
10,30,162,1,0.086001,0.339044,0.084458,,0.595332259
10,30,162,2,0.049676,0.406639,0.058063,,0.78227321
10,30,162,3,0.036467,0.466007,0.047226,,0.854850201
10,30,162,4,0.031875,0.518732,0.044191,,0.88421869
10,30,162,5,0.030267,0.559,0.043143,,0.897272374
10,30,162,6,0.029598,0.590311,0.042441,,0.904508565
10,30,162,7,0.029966,0.624342,0.042451,,0.908403993
10,30,180,0.01,0.191353,0.283703,0.167188,,0.194398134
10,30,180,0.1,0.175796,0.287522,0.154433,,0.241143232
10,30,180,0.5,0.124901,0.310013,0.114442,,0.425628975
10,30,180,1,0.085924,0.338725,0.084441,,0.595317545
10,30,180,2,0.049568,0.40616,0.058323,,0.782466735
10,30,180,3,0.036347,0.465468,0.047093,,0.85513785
10,30,180,4,0.031747,0.518136,0.044167,,0.8845318
10,30,180,5,0.030137,0.558453,0.043105,,0.89759595
10,30,180,6,0.029463,0.589736,0.042481,,0.904835118
10,30,180,7,0.029828,0.623636,0.042429,,0.908708054
10,40,0,0.01,0.191235,0.283935,0.168378,,0.195088074
10,40,0,0.1,0.175219,0.28965,0.156057,,0.24615752
10,40,0,0.5,0.123495,0.321524,0.115487,,0.444989989
10,40,0,1,0.085404,0.358458,0.086963,,0.61517769
10,40,0,2,0.051445,0.436531,0.06267,,0.789149466
10,40,0,3,0.039959,0.501367,0.053764,,0.852366227
10,40,0,4,0.036319,0.557823,0.051544,,0.877743031
10,40,0,5,0.035244,0.599332,0.050543,,0.888921106
10,40,0,6,0.034944,0.631497,0.050494,,0.895132502
10,40,0,7,0.035706,0.666944,0.050514,,0.898367608
10,40,18,0.01,0.191233,0.283926,0.168142,,0.195077858
10,40,18,0.1,0.175209,0.289589,0.156096,,0.246085396
10,40,18,0.5,0.123372,0.321241,0.11544,,0.44503647
10,40,18,1,0.085247,0.357838,0.087167,,0.615211528
10,40,18,2,0.051238,0.435784,0.062123,,0.789586507
10,40,18,3,0.039724,0.500332,0.05364,,0.85288933
10,40,18,4,0.036079,0.556429,0.051151,,0.87821599
10,40,18,5,0.035012,0.598008,0.050311,,0.889381062
10,40,18,6,0.034687,0.630344,0.050067,,0.895683058
10,40,18,7,0.035445,0.665491,0.050083,,0.898863805
10,40,36,0.01,0.19123,0.283905,0.16792,,0.195049828
10,40,36,0.1,0.175171,0.289375,0.15538,,0.245840024
10,40,36,0.5,0.123163,0.320221,0.115268,,0.444440936
10,40,36,1,0.084847,0.35635,0.086389,,0.615378164
10,40,36,2,0.050651,0.433284,0.061397,,0.790670235
10,40,36,3,0.039085,0.497248,0.052712,,0.854250997
10,40,36,4,0.035427,0.552904,0.050259,,0.879567794
10,40,36,5,0.034333,0.594449,0.04961,,0.89079522
10,40,36,6,0.03398,0.626592,0.04917,,0.897119466
10,40,36,7,0.034701,0.661529,0.049332,,0.900317424
10,40,54,0.01,0.191224,0.283874,0.167568,,0.195012397
10,40,54,0.1,0.175114,0.289102,0.154891,,0.245549486
10,40,54,0.5,0.12283,0.31885,0.11428,,0.44380547
10,40,54,1,0.084238,0.354071,0.085575,,0.615622768
10,40,54,2,0.049817,0.429746,0.060369,,0.792240019
10,40,54,3,0.038176,0.492907,0.051571,,0.856233395
10,40,54,4,0.034494,0.54793,0.049072,,0.881550211
10,40,54,5,0.033383,0.589431,0.04854,,0.892799455
10,40,54,6,0.032985,0.621254,0.047956,,0.89916529
10,40,54,7,0.033666,0.655732,0.047812,,0.90233218
10,40,72,0.01,0.191217,0.283836,0.167013,,0.194965614
10,40,72,0.1,0.175042,0.288773,0.154242,,0.24520768
10,40,72,0.5,0.122449,0.317319,0.113195,,0.443120009
10,40,72,1,0.083581,0.351354,0.084472,,0.61566211
10,40,72,2,0.048872,0.425606,0.059368,,0.793996771
10,40,72,3,0.037146,0.48815,0.050423,,0.858571167
10,40,72,4,0.033439,0.542594,0.047709,,0.883899013
10,40,72,5,0.032303,0.583685,0.04736,,0.895118087
10,40,72,6,0.031878,0.61501,0.046685,,0.901441981
10,40,72,7,0.032496,0.649416,0.046616,,0.904691514
10,40,90,0.01,0.191209,0.283796,0.166357,,0.194917948
10,40,90,0.1,0.174967,0.288429,0.153743,,0.244848898
10,40,90,0.5,0.122103,0.315621,0.112419,,0.442100502
10,40,90,1,0.082925,0.348739,0.083378,,0.615789132
10,40,90,2,0.047942,0.421575,0.058072,,0.795781622
10,40,90,3,0.036122,0.483331,0.048946,,0.860922932
10,40,90,4,0.032396,0.537172,0.046316,,0.886243609
10,40,90,5,0.031224,0.577974,0.045876,,0.897491456
10,40,90,6,0.030783,0.608871,0.045511,,0.90375109
10,40,90,7,0.031341,0.643231,0.045288,,0.907078859
10,40,108,0.01,0.191202,0.283758,0.165426,,0.194871147
10,40,108,0.1,0.174891,0.288111,0.152904,,0.244534581
10,40,108,0.5,0.121728,0.31399,0.112008,,0.441253288
10,40,108,1,0.082295,0.346166,0.082823,,0.615857686
10,40,108,2,0.047081,0.417891,0.057464,,0.797488881
10,40,108,3,0.03519,0.479091,0.047611,,0.863148746
10,40,108,4,0.031437,0.532331,0.045057,,0.888475401
10,40,108,5,0.030253,0.572697,0.044691,,0.899650054
10,40,108,6,0.02979,0.603263,0.044059,,0.905884657
10,40,108,7,0.030292,0.637523,0.043961,,0.909280265
10,40,126,0.01,0.191195,0.283725,0.165451,,0.194832814
10,40,126,0.1,0.174828,0.287834,0.152523,,0.244251743
10,40,126,0.5,0.121461,0.312677,0.111481,,0.440449811
10,40,126,1,0.081794,0.344072,0.081975,,0.615869781
10,40,126,2,0.046368,0.414807,0.056726,,0.798913644
10,40,126,3,0.03441,0.475492,0.046575,,0.865032889
10,40,126,4,0.030637,0.528242,0.04413,,0.890362672
10,40,126,5,0.029432,0.568225,0.043607,,0.901508725
10,40,126,6,0.028959,0.598565,0.043035,,0.907703928
10,40,126,7,0.029422,0.632755,0.042924,,0.911135542
10,40,144,0.01,0.19119,0.2837,0.164965,,0.194803007
10,40,144,0.1,0.174779,0.287632,0.152074,,0.24405345
10,40,144,0.5,0.121201,0.31176,0.111041,,0.440129711
10,40,144,1,0.081404,0.342373,0.08093,,0.615816809
10,40,144,2,0.045839,0.412468,0.055934,,0.79996378
10,40,144,3,0.033834,0.472756,0.045662,,0.866424525
10,40,144,4,0.030044,0.525305,0.043424,,0.891801372
10,40,144,5,0.028827,0.565027,0.042802,,0.902915531
10,40,144,6,0.028326,0.595258,0.042141,,0.909150972
10,40,144,7,0.028769,0.629163,0.042196,,0.912547193
10,40,162,0.01,0.191187,0.283685,0.164868,,0.194785121
10,40,162,0.1,0.174748,0.287507,0.151637,,0.243932462
10,40,162,0.5,0.121065,0.311219,0.110416,,0.439882115
10,40,162,1,0.081174,0.341402,0.080395,,0.615813487
10,40,162,2,0.045503,0.411065,0.055414,,0.800673722
10,40,162,3,0.033481,0.471173,0.045413,,0.867311069
10,40,162,4,0.029672,0.523578,0.04319,,0.892735653
10,40,162,5,0.028446,0.563168,0.042317,,0.903835947
10,40,162,6,0.027936,0.593289,0.041813,,0.910061572
10,40,162,7,0.028368,0.627,0.041901,,0.913428791
