SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,162,0.01,0.181382,0.275948,0.157988,0.01314,0.206778475
10,30,162,0.1,0.170735,0.277977,0.149545,0.1314,0.238999626
10,30,162,0.5,0.145211,0.281514,0.128348,0.657,0.319416486
10,30,162,1,0.131815,0.284071,0.118759,1.314,0.366100326
10,30,162,2,0.123438,0.284528,0.112062,2.628,0.394861336
10,30,162,3,0.121304,0.283804,0.110389,3.942,0.401127601
10,30,162,4,0.121081,0.283847,0.110237,5.256,0.401962818
10,30,162,5,0.120165,0.282736,0.109793,6.57,0.403501108
10,30,162,6,0.120256,0.283787,0.109638,7.884,0.404736625
10,30,180,0.01,0.181357,0.275927,0.158092,0.01314,0.206808023
10,30,180,0.1,0.170687,0.277802,0.149434,0.1314,0.238835289
10,30,180,0.5,0.145192,0.281593,0.128395,0.657,0.319601204
10,30,180,1,0.131582,0.283071,0.118715,1.314,0.365339211
10,30,180,2,0.123065,0.283996,0.111888,2.628,0.395348609
10,30,180,3,0.121425,0.282907,0.110538,3.942,0.399379718
10,30,180,4,0.121059,0.283978,0.110345,5.256,0.402232389
10,30,180,5,0.12005,0.282241,0.109774,6.57,0.403168353
10,30,180,6,0.119932,0.284198,0.109605,7.884,0.406468216
10,40,0,0.01,0.18228,0.278193,0.1602,0.01314,0.208292343
10,40,0,0.1,0.171372,0.281981,0.151759,0.1314,0.243979857
10,40,0,0.5,0.145946,0.291369,0.130276,0.657,0.332536044
10,40,0,1,0.133048,0.299598,0.122291,1.314,0.384956754
10,40,0,2,0.125778,0.306909,0.116167,2.628,0.418619002
10,40,0,3,0.123564,0.307237,0.114407,3.942,0.426352307
10,40,0,4,0.123112,0.308472,0.114065,5.256,0.429487655
10,40,0,5,0.122642,0.309599,0.113988,6.57,0.432529538
10,40,0,6,0.122585,0.312717,0.113595,7.884,0.43678182
10,40,18,0.01,0.182268,0.278269,0.16022,0.01314,0.208454478
10,40,18,0.1,0.171323,0.28171,0.15181,0.1314,0.243662161
10,40,18,0.5,0.145551,0.290445,0.129698,0.657,0.332328737
10,40,18,1,0.133063,0.298713,0.122028,1.314,0.383648003
10,40,18,2,0.125227,0.306008,0.115451,2.628,0.4192169
10,40,18,3,0.123356,0.30611,0.113991,3.942,0.425537761
10,40,18,4,0.122836,0.308562,0.113229,5.256,0.430521236
10,40,18,5,0.122325,0.307679,0.113255,6.57,0.431051804
10,40,18,6,0.122397,0.311966,0.113129,7.884,0.436429898
10,40,36,0.01,0.181817,0.27771,0.159509,0.01314,0.208677619
10,40,36,0.1,0.170912,0.280853,0.151016,0.1314,0.243358826
10,40,36,0.5,0.14481,0.289091,0.128828,0.657,0.332520552
10,40,36,1,0.131926,0.296362,0.120459,1.314,0.383937911
10,40,36,2,0.123903,0.303239,0.114052,2.628,0.41985101
10,40,36,3,0.121975,0.302472,0.11257,3.942,0.425252152
10,40,36,4,0.121449,0.305496,0.111869,5.256,0.431078945
10,40,36,5,0.120864,0.304434,0.111777,6.57,0.431626765
10,40,36,6,0.12053,0.30754,0.111414,7.884,0.436867802
10,40,54,0.01,0.18135,0.276928,0.158411,0.01314,0.208558997
10,40,54,0.1,0.170411,0.280044,0.149834,0.1314,0.243382802
10,40,54,0.5,0.14431,0.287901,0.128183,0.657,0.332224307
10,40,54,1,0.130889,0.293895,0.119333,1.314,0.383738559
10,40,54,2,0.122853,0.299653,0.11237,2.628,0.418455596
10,40,54,3,0.121129,0.298815,0.111118,3.942,0.423118321
10,40,54,4,0.12027,0.301219,0.110261,5.256,0.42930895
10,40,54,5,0.119068,0.300314,0.109721,6.57,0.432174008
10,40,54,6,0.118895,0.302581,0.109467,7.884,0.435816037
10,40,72,0.01,0.180758,0.276409,0.157516,0.01314,0.209225513
10,40,72,0.1,0.169925,0.279398,0.149124,0.1314,0.243639876
10,40,72,0.5,0.143705,0.286288,0.127458,0.657,0.33159377
10,40,72,1,0.13067,0.291323,0.118673,1.314,0.380700628
10,40,72,2,0.121927,0.295532,0.11122,2.628,0.415861198
10,40,72,3,0.119755,0.293212,0.109433,3.942,0.420026298
10,40,72,4,0.118856,0.296047,0.108644,5.256,0.427066085
10,40,72,5,0.118104,0.295005,0.108411,6.57,0.428218703
10,40,72,6,0.118037,0.296682,0.108341,7.884,0.430761552
10,40,90,0.01,0.180396,0.275499,0.156792,0.01314,0.208607245
10,40,90,0.1,0.169361,0.278527,0.148086,0.1314,0.243735041
10,40,90,0.5,0.142365,0.283958,0.1265,0.657,0.332126111
10,40,90,1,0.128557,0.287833,0.11677,1.314,0.382516391
10,40,90,2,0.119532,0.289819,0.108852,2.628,0.415992632
10,40,90,3,0.11679,0.288776,0.107121,3.942,0.424064147
10,40,90,4,0.116481,0.289409,0.106472,5.256,0.426046466
10,40,90,5,0.116457,0.290484,0.106837,6.57,0.42764676
10,40,90,6,0.116179,0.289432,0.106621,7.884,0.427140783
10,40,108,0.01,0.179959,0.274975,0.155729,0.01314,0.208856669
10,40,108,0.1,0.168767,0.277772,0.146956,0.1314,0.244110817
10,40,108,0.5,0.141327,0.28201,0.125341,0.657,0.332319169
10,40,108,1,0.126565,0.285004,0.114891,1.314,0.384963396
10,40,108,2,0.117178,0.285455,0.107004,2.628,0.417941401
10,40,108,3,0.11457,0.284053,0.105336,3.942,0.425171152
10,40,108,4,0.114482,0.282894,0.104831,5.256,0.423810195
10,40,108,5,0.114273,0.284159,0.105177,6.57,0.426386435
10,40,108,6,0.113801,0.282934,0.104673,7.884,0.426312274
10,40,126,0.01,0.179705,0.274416,0.15536,0.01314,0.208558952
10,40,126,0.1,0.168526,0.27697,0.146649,0.1314,0.243423061
10,40,126,0.5,0.140627,0.280515,0.124287,0.657,0.332163498
10,40,126,1,0.125349,0.283169,0.113474,1.314,0.386323246
10,40,126,2,0.115228,0.282103,0.10545,2.628,0.419989882
10,40,126,3,0.11363,0.280828,0.104486,3.942,0.423867687
10,40,126,4,0.113288,0.279396,0.103981,5.256,0.423006794
10,40,126,5,0.112646,0.279509,0.103877,6.57,0.425502671
10,40,126,6,0.11207,0.279836,0.103238,7.884,0.428077141
10,40,144,0.01,0.179583,0.273954,0.154923,0.01314,0.208077841
10,40,144,0.1,0.168378,0.276352,0.146271,0.1314,0.24278551
10,40,144,0.5,0.140133,0.278929,0.123488,0.657,0.331206361
10,40,144,1,0.124767,0.280996,0.112885,1.314,0.385025249
10,40,144,2,0.115225,0.27952,0.105062,2.628,0.416205398
10,40,144,3,0.113071,0.278109,0.103699,3.942,0.421897848
10,40,144,4,0.112289,0.276352,0.102968,5.256,0.422145373
10,40,144,5,0.111279,0.276014,0.102651,6.57,0.4253498
10,40,144,6,0.110927,0.276514,0.102192,7.884,0.427386363
10,40,162,0.01,0.179759,0.273819,0.154644,0.01314,0.207373373
10,40,162,0.1,0.1683,0.275716,0.145864,0.1314,0.24191921
10,40,162,0.5,0.140142,0.278153,0.123214,0.657,0.329937006
10,40,162,1,0.124615,0.279842,0.112326,1.314,0.383791108
10,40,162,2,0.115127,0.277954,0.104999,2.628,0.41423269
10,40,162,3,0.112659,0.276972,0.103331,3.942,0.421714391
10,40,162,4,0.111996,0.275291,0.102785,5.256,0.421638217
10,40,162,5,0.111075,0.273992,0.102579,6.57,0.423087411
10,40,162,6,0.111054,0.273861,0.102283,7.884,0.422968707
10,40,180,0.01,0.17958,0.273723,0.154605,0.01314,0.207682279
10,40,180,0.1,0.16815,0.275636,0.145552,0.1314,0.242202323
10,40,180,0.5,0.140036,0.277883,0.122943,0.657,0.329841429
10,40,180,1,0.124767,0.278964,0.112341,1.314,0.381930047
10,40,180,2,0.115131,0.277265,0.105084,2.628,0.413189737
10,40,180,3,0.112627,0.275766,0.103189,3.942,0.420035891
10,40,180,4,0.111957,0.274894,0.102607,5.256,0.421188003
10,40,180,5,0.111005,0.273754,0.102285,6.57,0.422989456
10,40,180,6,0.110977,0.274485,0.102045,7.884,0.424187079
10,50,0,0.01,0.179802,0.27582,0.15591,0.01314,0.210740482
10,50,0,0.1,0.167777,0.279702,0.147017,0.1314,0.250123469
10,50,0,0.5,0.137793,0.28733,0.122892,0.657,0.351749964
10,50,0,1,0.121754,0.294139,0.113454,1.314,0.414493632
10,50,0,2,0.112473,0.299263,0.106204,2.628,0.453664484
10,50,0,3,0.109772,0.298762,0.104241,3.942,0.462605316
10,50,0,4,0.109066,0.299572,0.103862,5.256,0.466197466
10,50,0,5,0.108492,0.299802,0.103751,6.57,0.46855942
10,50,0,6,0.108475,0.303131,0.103341,7.884,0.472918276
10,50,18,0.01,0.180019,0.276008,0.155786,0.01314,0.21048973
10,50,18,0.1,0.167853,0.279367,0.146771,0.1314,0.249349314
10,50,18,0.5,0.137438,0.28676,0.121968,0.657,0.352010146
10,50,18,1,0.122151,0.294557,0.113159,1.314,0.413733358
10,50,18,2,0.112306,0.299325,0.105987,2.628,0.45433653
10,50,18,3,0.109897,0.296854,0.104003,3.942,0.45963501
10,50,18,4,0.10885,0.299794,0.103,5.256,0.467262458
10,50,18,5,0.108119,0.297916,0.102979,6.57,0.467439999
10,50,18,6,0.107895,0.301747,0.10251,7.884,0.473222961
10,50,36,0.01,0.179503,0.275042,0.155311,0.01314,0.21018601
10,50,36,0.1,0.167301,0.278219,0.146147,0.1314,0.24896301
10,50,36,0.5,0.1369,0.285893,0.12176,0.657,0.352401766
10,50,36,1,0.12049,0.291897,0.111895,1.314,0.415645983
10,50,36,2,0.11051,0.296329,0.104213,2.628,0.456738415
10,50,36,3,0.108122,0.292869,0.102458,3.942,0.460726051
10,50,36,4,0.107786,0.297142,0.101688,5.256,0.467628813
10,50,36,5,0.107055,0.294379,0.101342,6.57,0.466637106
10,50,36,6,0.106819,0.297595,0.101186,7.884,0.471734411
10,50,54,0.01,0.178911,0.274209,0.154243,0.01314,0.210315148
