SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,30,144,7,0.034416,0.637808,0.047032,,0.89760556
10,30,162,0.01,0.191449,0.283687,0.167343,,0.194129681
10,30,162,0.1,0.176555,0.28758,0.154805,,0.23920842
10,30,162,0.5,0.127459,0.309672,0.116665,,0.416838431
10,30,162,1,0.089516,0.340033,0.087348,,0.583209366
10,30,162,2,0.053799,0.408547,0.061384,,0.767278186
10,30,162,3,0.040469,0.473751,0.051203,,0.842600443
10,30,162,4,0.035607,0.525595,0.047901,,0.873104515
10,30,162,5,0.034126,0.568011,0.046902,,0.88665038
10,30,162,6,0.033783,0.602816,0.046199,,0.893864112
10,30,162,7,0.034012,0.635728,0.046549,,0.898432227
10,30,180,0.01,0.191448,0.283683,0.167307,,0.19412541
10,30,180,0.1,0.176545,0.287546,0.154663,,0.239179385
10,30,180,0.5,0.127423,0.309519,0.116744,,0.416750965
10,30,180,1,0.089436,0.33971,0.087608,,0.583190802
10,30,180,2,0.053688,0.408091,0.061302,,0.767473185
10,30,180,3,0.040344,0.473138,0.050936,,0.842861093
10,30,180,4,0.035487,0.525085,0.047808,,0.873390037
10,30,180,5,0.034001,0.567426,0.046778,,0.886932246
10,30,180,6,0.033646,0.6021,0.046157,,0.894152696
10,30,180,7,0.033876,0.63501,0.04632,,0.898709197
10,40,0,0.01,0.191335,0.283903,0.168531,,0.194782404
10,40,0,0.1,0.176043,0.289595,0.156515,,0.243863259
10,40,0,0.5,0.126161,0.320418,0.11842,,0.434989106
10,40,0,1,0.089135,0.359077,0.090286,,0.602264107
10,40,0,2,0.055824,0.437651,0.065993,,0.773751457
10,40,0,3,0.044186,0.509093,0.057557,,0.840275883
10,40,0,4,0.040304,0.562844,0.055006,,0.866354527
10,40,0,5,0.039404,0.606898,0.054329,,0.878063196
10,40,0,6,0.039491,0.64288,0.053835,,0.884253581
10,40,0,7,0.040127,0.678174,0.054814,,0.888272465
10,40,18,0.01,0.191334,0.283895,0.168285,,0.194771363
10,40,18,0.1,0.176031,0.289541,0.156524,,0.243807617
10,40,18,0.5,0.126045,0.320185,0.118328,,0.435067118
10,40,18,1,0.088975,0.358464,0.089913,,0.602292156
10,40,18,2,0.055612,0.436926,0.065779,,0.774181891
10,40,18,3,0.04396,0.508123,0.057287,,0.840748583
10,40,18,4,0.040047,0.561496,0.054488,,0.866852411
10,40,18,5,0.039166,0.605742,0.054191,,0.878537714
10,40,18,6,0.039237,0.641548,0.053359,,0.884730128
10,40,18,7,0.039843,0.676799,0.054224,,0.888806405
10,40,36,0.01,0.19133,0.283875,0.168064,,0.19474753
10,40,36,0.1,0.175993,0.28934,0.155852,,0.243582553
10,40,36,0.5,0.125836,0.319255,0.117937,,0.434560573
10,40,36,1,0.088569,0.357032,0.089286,,0.602473962
10,40,36,2,0.055002,0.434495,0.065031,,0.77527135
10,40,36,3,0.043296,0.505016,0.056262,,0.842075315
10,40,36,4,0.039347,0.558086,0.0537,,0.86827979
10,40,36,5,0.038458,0.602388,0.053389,,0.879977405
10,40,36,6,0.038499,0.637935,0.052497,,0.886170713
10,40,36,7,0.039068,0.67282,0.053296,,0.890241162
10,40,54,0.01,0.191325,0.283845,0.167741,,0.194709262
10,40,54,0.1,0.175934,0.289083,0.155314,,0.243322287
10,40,54,0.5,0.125513,0.317982,0.117198,,0.433982345
10,40,54,1,0.087952,0.354842,0.08882,,0.602740778
10,40,54,2,0.054182,0.431187,0.064018,,0.776738935
10,40,54,3,0.042362,0.500809,0.055033,,0.844019655
10,40,54,4,0.038388,0.553388,0.052365,,0.870261721
10,40,54,5,0.037478,0.597655,0.052102,,0.881983773
10,40,54,6,0.037464,0.632845,0.051093,,0.888218717
10,40,54,7,0.037989,0.667123,0.052036,,0.892246905
10,40,72,0.01,0.191318,0.283809,0.167161,,0.194665847
10,40,72,0.1,0.175862,0.28877,0.15459,,0.243005217
10,40,72,0.5,0.12514,0.316561,0.116299,,0.433372349
10,40,72,1,0.087296,0.352245,0.087733,,0.602785633
10,40,72,2,0.053232,0.427289,0.062862,,0.778440484
10,40,72,3,0.041327,0.49614,0.053863,,0.846215675
10,40,72,4,0.03732,0.548306,0.051097,,0.872546642
10,40,72,5,0.036375,0.591896,0.050743,,0.884206019
10,40,72,6,0.03632,0.627157,0.049726,,0.890516175
10,40,72,7,0.036782,0.660752,0.050742,,0.89453704
10,40,90,0.01,0.191311,0.283772,0.166558,,0.194620729
10,40,90,0.1,0.175785,0.288444,0.154194,,0.242679798
10,40,90,0.5,0.124797,0.314971,0.11506,,0.432441651
